Full Word	Stemmed Word
Suwerte	Suwerte
pa	pa
rin	rin
ang	ang
Pilipinas	Pilipinas
na	na
kahit	kahit
tinamaan	tama
ng	ng
isang	ang
malakas	akas
na	na
lindol,	ldol,
hindi	hindi
ito	ito
naging	naging
sanhi	sanhi
ng	ng
malawakang	awakang
pinsala	psala
sa	sa
mamamayan!	amayan!
Isang	Isang
magnitude	nitude
7.6	7.6
na	na
lindol	ldol
ang	ang
tumama	tama
sa	sa
karagatan	agat
sa	sa
may	may
silangan	silang
ng	ng
Samar.	Samar.
Agad	Agad
naglabas	abas
ng	ng
babala	babala
ang	ang
Phivolcs	Phivolcs
ukol	ukol
sa	sa
tsunami,	tsunami,
na	na
maaring	ring
tumama	tama
sa	sa
mga	mga
lalawigan	lalawig
sa	sa
silangang	silangang
Visayas	Visayas
at	at
Mindanao.	Mindanao.
Pati	Pati
mga	mga
ahensiya	ahensiya
sa	sa
ibaÃ¢Â?Â?t	aÃ¢Â?Â?t
ibang	ang
bahagi	bahagi
ng	ng
mundo	mundo
ay	ay
naglabas	abas
din	din
ng	ng
babala	babala
ukol	ukol
sa	sa
naganap	naganap
na	na
lindol	ldol
sa	sa
Pilipinas.	Pilipinas.
Dahil	Dahil
sa	sa
mga	mga
nakaraang	aang
lindol	ldol
na	na
naging	naging
sanhi	sanhi
ng	ng
mga	mga
malalaking	alaking
tsunami,	tsunami,
katulad	ulad
ng	ng
sa	sa
Japan	Jap
noong	noong
isang	ang
taon,	taon,
naging	naging
mas	mas
maingat	ngat
na	na
ang	ang
buong	buong
mundo	mundo
kapag	kapag
tsunami	tsunami
na	na
ang	ang
pinag-uusapan.	uusapan.
Agad	Agad
ding	ding
lumikas	likas
ang	ang
higit	higit
100,000	100,000
residente	residente
na	na
nakatira	ira
sa	sa
mga	mga
baybay-dagat	baybay-dagat
ng	ng
Visayas	Visayas
at	at
Mindanao.	Mindanao.
Pero	Pero
nang	nang
makita	ita
ng	ng
Phivolcs	Phivolcs
na	na
hindi	hindi
lumikha	likha
ng	ng
mga	mga
malalaking	alaking
alon	alon
ang	ang
lindol,	ldol,
kahit	kahit
malakas	akas
ito	ito
base	base
sa	sa
sukat	sukat
ng	ng
kanilang	ilang
mga	mga
instrumento,	strumento,
binaba	baba
at	at
tinanggal	tanggal
ang	ang
mga	mga
babala,	babala,
kaya	kaya
bumalik	balik
na	na
sa	sa
kanilang	ilang
mga	mga
tahanan.	tahanan.
Talagang	Talagang
suwerte	suwerte
nga!	nga!
May	May
paliwanag	iwanag
naman	naman
kung	kung
bakit	bakit
hindi	hindi
naging	naging
mapanira	anira
ang	ang
lindol	ldol
na	na
ito.	ito.
Una,	Una,
sa	sa
dagat	dagat
naganap	naganap
ang	ang
episentro	episentro
ng	ng
lindol.	ldol.
Kung	Kung
sa	sa
lupa	lupa
raw	raw
naganap	naganap
ito,	ito,
ay	ay
Diyos	Diyos
ko!	ko!
Isipin	Isip
na	na
lang	lang
ang	ang
nangyari	nangyari
sa	sa
Baguio	Baguio
at	at
Cabanatuan	Cabanatu
nang	nang
lumindol	lindol
noong	noong
1990!	1990!
Baka	Baka
mas	mas
matindi	indi
pa	pa
ang	ang
naganap	naganap
na	na
pinsala!	psala!
Pangalawa,	Pangalawa,
ang	ang
lindol	ldol
ay	ay
mas	mas
pahalang	alang
ang	ang
kilos,	kilos,
imbis	imbis
na	na
pataas-baba.	aas-baba.
Kung	Kung
naging	naging
pataas-baba	aas-baba
ang	ang
kilos	kilos
ng	ng
lindol,	ldol,
Diyos	Diyos
ko	ko
po	po
ulit,	ulit,
siguradong	siguradong
lilikha	lilikha
nang	nang
malalaking	alaking
tsunami,	tsunami,
katulad	ulad
ng	ng
sa	sa
Japan	Jap
at	at
sa	sa
Indonesia!	Indonesia!
Baka	Baka
nalubog	nalubog
na	na
ang	ang
ilang	ang
isla	isla
sa	sa
Visayas	Visayas
at	at
Mindanao!	Mindanao!
Sana	Sana
palagi	agi
lang	lang
ganito	ganito
ang	ang
mga	mga
uri	uri
ng	ng
lindol	ldol
sa	sa
atin.	atin.
Laging	Laging
sa	sa
dagat,	dagat,
at	at
laging	laging
pahalang	alang
ang	ang
kilos!	kilos!
Kung	Kung
minsan	mins
nga,	nga,
naiisip	naiisip
ko	ko
na	na
tayo	tayo
na	na
ang	ang
susunod	susunod
na	na
bansa	bansa
na	na
tatamaan	tatama
nang	nang
malakas	akas
na	na
lindol	ldol
na	na
mga	mga
katabi	abi
nating	nating
bansa	bansa
ay	ay
tinamaan	tama
na!	na!
Pero	Pero
mabait	ait
talaga	talaga
ang	ang
Diyos	Diyos
at	at
hindi	hindi
pa	pa
nangyayari	nangyayari
iyon.	on.
NAGBIGAY	NAGBIGAY
ng	ng
mahalagang	alagang
payo	payo
ang	ang
DOH	DOH
National	National
Center	Center
for	for
Health	Health
Promotion	Promotion
Director,	Director,
si	si
Dr.	Dr.
Ivan	Ivan
Escartin,	Escartin,
tungkol	tungkol
sa	sa
lifestyle	lifestyle
diseases	diseases
o	o
non-communicable	non-communicable
diseases.	diseases.
Sakop	Sakop
nito	nito
ang	ang
sakit	sakit
sa	sa
puso,	puso,
high	high
blood,	blood,
diabetes,	diabetes,
mataas	aas
ang	ang
cholesterol,	cholesterol,
